decimal_date;T1;T2;T3;T4;T5
1982.042;146.5819298216557;142.97301309868885;149.57399370364655;147.46093566033483;148.6470508226199
1982.123;142.33226201362092;138.77754393881125;145.39592290295766;143.842627025002;145.0599683432323
1982.204;138.12265947473014;134.4792155036557;141.07342670758166;140.22115640310014;141.34716668960294
1982.288;133.85498105077164;130.0430946446032;136.75221701529713;136.49662880231088;137.51371043199634
1982.371;129.4617190759488;125.530698860203;132.5636120981502;132.5945191287147;133.63879618921686
1982.455;124.96014006603488;121.03006747002657;128.26057698320653;128.57761305242653;129.6240041447989
1982.538;120.52024301738672;116.56487247303951;123.8944856353606;124.62311175647314;125.56460462623168
1982.623;116.16664596302816;112.03230641242766;119.4449956735191;120.67313754113388;121.50067612398082
1982.707;111.72742268092072;107.46577209328288;115.075661302752;116.62841178968154;117.39673867554464
1982.79;107.23682388048027;102.79605075491229;110.91994694447672;112.50703054202052;113.19519288641224
1982.874;102.68853319499436;98.1466262427713;106.76910661238082;108.438673329113;108.89818880404584
1982.958;98.29657514631472;93.60753717887556;102.7299942856315;104.34389335389965;104.73221489294788
1983.042;94.0432865513396;89.04999342151237;98.83804123715738;100.25742216652505;100.60291366315074
1983.123;89.76037052339449;84.4755427136388;95.0449862696238;96.14584458387088;96.36105233472033
1983.204;85.50089125300897;79.94542909479627;91.23482474393532;91.99186104346278;92.01081638519886
1983.288;81.5837978660731;75.53850159792286;87.30363589575111;87.85784910779458;87.76956277179043
1983.371;77.89624036847967;71.23252268906427;83.31940931762772;83.89407841460114;83.57924821855934
1983.455;74.21813930727805;66.93292794931527;79.50658715325955;79.90209483913233;79.3446509331313
1983.538;70.45522895269501;62.65245213972318;75.68783147187082;75.8794640764129;75.07954189936804
1983.623;66.7258631065198;58.66847444992648;71.74496325827675;71.96956083918441;70.89436773857659
1983.707;63.16056074174074;54.95483690413411;67.8086325876374;68.23771305143396;66.88222179630571
1983.79;59.534667895308914;51.310062389778494;64.1356044469194;64.56444404109648;62.86768495574257
1983.874;55.86624938696903;47.671825711165155;60.4531966782661;61.07752002717017;58.945410599128984
1983.958;52.27264589493505;44.29939005892682;56.74403587981399;57.948356967523715;55.19464754749031
1984.042;48.80822062944367;40.929205938068165;53.15019222442394;54.95359207130561;51.60156616887875
1984.124;45.35457457898501;37.567777690414985;49.68088844372425;51.925393272765746;48.14140013746391
1984.206;42.098953849517024;34.29819455991893;46.107514551880435;48.93749767280139;45.07402166995734
1984.29;38.9327964369316;31.100584149164575;42.76517424239636;46.0781341995185;42.08969704318014
1984.373;35.77980482095384;27.8993819304418;39.49107431282835;43.15919420545771;39.19633064880752
1984.456;32.67324243514449;25.02485137811923;36.32255598259551;40.339648176308096;36.44382669336174
1984.54;29.718369122038748;22.178835174846235;33.32719933267652;37.6528819985445;33.7928600550535
1984.624;26.986534081227585;19.52493786458598;30.49187949054298;35.04727324714847;31.121864379177776
1984.708;24.387765488925897;16.997232247258133;27.77565698614242;32.58734389585053;28.726556740877044
1984.791;21.94095545871957;14.509159507209658;25.17242591218456;30.271656326658615;26.448778053280332
1984.874;19.655216506684273;12.535580151638262;22.928434067652613;27.974796817949866;24.32307801100497
1984.958;17.543629588511635;10.639509187689274;20.90943091953435;25.85325604858417;22.425337289630825
1985.042;15.88499728364704;8.961504855544772;18.991162886724055;24.015083356895776;20.71583317649999
1985.123;14.450774588138898;7.653127844130484;17.637862082118986;22.352467966313643;19.20634200641974
1985.204;13.302302206200702;6.828857399220608;16.658414189272833;20.8579621333846;18.144906376791997
1985.288;12.73492643773704;6.583912341994756;16.30108378319825;19.68923677218811;17.503770494045472
1985.371;12.89418055500068;6.954325769008038;16.579647044463247;18.83631065144724;17.392494222986475
1985.455;13.39525618321035;7.409334317081796;17.2121522024281;18.50467530371574;17.871364116983404
1985.538;14.031988080475738;7.912491024210042;17.84333001648019;18.842614180434435;18.357205078761933
1985.623;14.626833988984458;8.487361085921554;18.577860557372627;19.392355988252675;18.843109302022324
1985.707;15.310425641292705;9.074353353232596;19.285958699925164;20.056802088886705;19.383063962130436
1985.79;16.128762992524614;9.748135948482869;20.099029748485812;20.71699327192918;19.95154934670359
1985.874;16.889639965986937;10.502422644568908;21.011637106688195;21.395571203478653;20.552335674117863
1985.958;17.828013994451208;11.32355675738429;21.93026585164205;22.147091960340628;21.2936802326161
1986.042;18.76668944211608;12.232625839763047;22.99692886590615;22.9543626443894;21.975219882955823
1986.123;19.818714800723654;13.221394054577296;24.05905948795587;23.836145128946036;22.768638707654475
1986.204;20.992114966782548;14.224880304005277;25.26090362746448;24.7441960468831;23.63232448743475
1986.288;22.185469702920365;15.460488245375108;26.58080841093716;25.709588834063663;24.55278043743375
1986.371;23.491225280647143;16.763242210010766;27.94458750306033;26.753933333611883;25.59769576834694
1986.455;24.93683059236172;18.150503570764943;29.400247926265205;27.87456345009987;26.63607702032658
1986.538;26.445281963939784;19.69013028447252;31.016522244180873;29.11720569878471;27.802607110563784
1986.623;28.092217083597845;21.375730833308143;32.68093155895075;30.33812903958651;29.096339368914578
1986.707;29.914630400373053;23.12883244298818;34.52299548030865;31.70618900627794;30.45252092196196
1986.79;31.76594842513791;25.113539837854425;36.53722070508297;33.19381987549744;31.874654440211295
1986.874;33.82151632310191;27.32845058441815;38.58373447716126;34.72631647577109;33.515971071212114
1986.958;36.08699624269375;29.732986311605305;40.83718724121673;36.439153307547755;35.26276753546725
1987.042;38.486854667131375;32.31539845552608;43.3187650684654;38.2168854464227;37.12728522142468
1987.123;41.022528290130545;35.11778269311356;45.92192574939893;40.070061662597915;39.176665127285
1987.204;43.79078453162781;38.22276641825933;48.676197181988414;42.12550980039559;41.43459974186802
1987.288;46.8172329289676;41.66015615906297;51.68032752929911;44.38827020696059;43.85835871209254
1987.371;50.0912502484322;45.44781437023265;54.93208459062503;46.71680863288219;46.48002646150974
1987.455;53.58172627568657;49.58330274868968;58.40385821254108;49.16439587360656;49.36074045691479
1987.538;57.308570343178694;54.04367999632368;62.05123408677329;51.902328977674195;52.48261694027399
1987.623;61.34288408171783;58.818956018442734;65.99099889864638;54.881080586161545;55.959219303937154
1987.707;65.77091256520399;63.87541943499224;70.2378824383396;58.18575339693438;59.963546009385546
1987.79;70.71918805301722;69.38466068486458;74.63006730051595;61.97189479750417;64.47042005896387
1987.874;76.03470384270365;75.43383079385849;79.14196453082465;66.19648827908514;69.28783812488187
1987.958;81.70615496022978;81.88788050908994;84.23007219501993;70.77949906869814;74.50047371942162
1988.042;87.6917958248266;88.45352609072003;89.70472266205047;75.65710099470051;80.02065986106318
1988.124;93.812946105962;95.23961130945764;95.34700724452992;80.76958019144465;85.71401193538941
1988.206;99.93292874003996;102.18393726945187;101.10545168738344;86.10270612103338;91.59309370199848
1988.29;106.22048659138602;109.15140803876682;106.9799125229115;91.64982405583952;97.72319295882326
1988.373;112.49184813430502;116.10076756704778;112.90438875033357;97.1240782439112;103.95853185570682
1988.456;118.70983411275309;123.14163618513756;118.86668526665323;102.87918746656534;110.3939871816503
1988.54;124.97424042985304;130.07864258743442;124.82684946475892;108.659243158154;117.0912199934086
1988.624;131.1698475745219;136.8700482239185;130.73067662803;114.38220760342904;123.92002687414067
1988.708;137.1758442251939;143.55943562955363;136.5398420178181;120.19889524466204;130.61638547669477
1988.791;143.1022313464735;150.0953155420587;142.25065626438914;125.86532249671065;137.19505992040067
1988.874;148.84953743062138;156.33880705268498;147.77318784466513;131.49393508374482;143.53446262431166
1988.958;154.31833586390815;162.32967098840538;153.13389879534787;137.0504618992519;149.58526920342769
1989.042;159.61574070714514;168.10494218418174;158.34731366526654;142.5137446366484;155.37335539126033
1989.123;164.72050777635127;173.54558646037117;163.36493265126336;147.82092727795032;160.91713085087702
1989.204;169.56813889192117;178.6514069728135;168.12523823483895;152.84463431846223;166.1696884876841
1989.288;174.14169431963214;183.46808552848375;172.63118271635193;157.7809511157738;171.15398930115626
1989.371;178.44616998354184;187.89820260443477;176.934817724982;162.4220361674706;175.80172634799362
1989.455;182.48452065144969;191.95065055693303;180.9883413493682;166.76712384444252;180.06863551304446
1989.538;186.249856826698;195.70210377841445;184.71379597131383;170.88335151478162;184.01498496556263
1989.623;189.6816307983925;199.1717179204499;188.11722007622495;174.77996927885013;187.7682140123666
1989.707;192.83403255163623;202.33129120335505;191.21113927866645;178.4205470009941;191.16993181772065
1989.79;195.70920907923625;205.1459164852373;194.1180987614004;181.73914641892392;194.196414481432
1989.874;198.2914736390796;207.60820992853863;196.77647643974797;184.7752845771853;196.89190893873933
1989.958;200.62286279907147;209.7775198276184;199.11289174413645;187.5321522598288;199.29728144236813
1990.042;202.6406935718171;211.6341990685048;201.14335162740596;190.00636730262505;201.39261897270316
1990.123;204.35919823693507;213.16261260304657;202.86952345764453;192.268566863488;203.19241476149128
